"type","title","classification","current_repo_action","public_release_decision","public_candidate","reason"
"presentation","21Verse: Fantastic 50 Pitch Deck","private pitch/investor material","inventory only; do not export publicly without redaction","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"presentation","21Verse Pitch Deck","pitch material","inventory only; public export requires review","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse: Activate Demo Day Presentation","demo/pitch material","inventory only; public export requires review","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse: Partner Deck","partner material","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"presentation","21Verse: Investor Pitch Deck","investor material","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"presentation","21Verse: Recruiting Unity Developers","recruiting/team material","inventory only","review_before_export","maybe","Needs manual public-release review."
"presentation","21Verse Showcase Summary","showcase material","possible public summary after review","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse: Short Pitch Deck","pitch material","inventory only; public export requires review","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse Arabic Presentation","public-facing presentation candidate","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse Presentation -APD Confrence","conference presentation","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse Presentation","public-facing presentation candidate","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","Arabic - 21Verse Presentation","public-facing presentation candidate","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse - Global Health Exhibition","event presentation","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","Copy of 21Verse - Ifaada Ceremony","event presentation","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse - Mutamim","event presentation","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","Poster 1 for 21Verse","poster/public collateral candidate","review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"presentation","Poster 2 for 21Verse","poster/public collateral candidate","local PDF already included as docs/poster-2.pdf","already_included","yes","A local public-facing export is already staged in the repo."
"presentation","Avatars for Down Symdrome","design/research material","inventory only; likely sensitive","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse Game Design Document [May 2024]","game design document with comments/contact metadata","sanitized summary included in docs/game-design-summary.md","already_summarized","yes","A sanitized derivative is already present in the repo."
"document","21Verse - Game Design Document (GDD)","game design document","inventory only; review before export","sanitize_then_export_candidate","yes_after_review","Potential public collateral, but requires redaction and owner review before export."
"document","21Verse - Game Design Document (GDD)","older game design document","inventory only","summarize_or_redact","maybe","May be useful as public documentation only after citation, anonymization, or redaction."
"document","21Verse Literature Review","research/literature review","inventory only; cite/redact before public use","summarize_or_redact","maybe","May be useful as public documentation only after citation, anonymization, or redaction."
"document","21Verse IRB Proposal","IRB/research material","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse IRB Assent Form","IRB/research participant material","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse Research Proposal","research proposal","private only unless redacted","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse Plan: Short & Long Term","internal strategy/roadmap","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","Collaboration Proposal Between 21Verse and SAUT","partner proposal","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Testing Session #2","testing/user data","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Testing Session #3","testing/user data","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Testing Session #4","testing/user data","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","Tracking 21Verse Pilot Test #1","pilot testing data","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Test User Data: Math Practice Game [Sample Data]","sample testing data","review/anonymize before public use","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Financial Sheet [Not Complete]","financial material","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","Game Studios for 21Verse","vendor/outreach list","private only","exclude_private","no","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21 verse project plan","project planning","inventory only","summarize_or_redact","maybe","May be useful as public documentation only after citation, anonymization, or redaction."
