"folder","referenced_file","file_kind","source_type","release_decision","recommended_action","validation_required","issue"
"Assets/BuildingMaterials","Assets/Education Building.prefab","prefab","replace_with_project_owned","pending","Replace textures/materials in Education Building prefab and Cashier scene with original or verified redistributable materials.","Regenerate risky-reference CSV, run Unity scene validation, and inspect material rendering.","#2"
"Assets/BuildingMaterials","Assets/Scenes/Cashier.unity","scene","replace_with_project_owned","pending","Replace textures/materials in Education Building prefab and Cashier scene with original or verified redistributable materials.","Regenerate risky-reference CSV, run Unity scene validation, and inspect material rendering.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/AdjectiveLevel01.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/Cashier.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/IdentifyingColors.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/MainMenu.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/NumberInequalitiesLevel.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/NumberLevelUI01.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fantasy Skybox FREE","Assets/Scenes/WordLevel01.unity","scene","import_from_asset_store","pending","Replace scene skybox/material references with original or verified redistributable sky assets, or document exact Asset Store import steps for private users.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test all README scenes.","#2"
"Assets/Fresh_Raystore","Assets/Scenes/Cashier.unity","scene","import_from_asset_store","pending","Replace cashier shelving/store prop with original or verified redistributable prop, or document exact Asset Store import steps.","Regenerate risky-reference CSV, run Unity scene validation, and inspect Cashier scene.","#2"
"Assets/Lana Studio","Assets/Scenes/AdjectiveLevel01.unity","scene","replace_or_confirm_source","pending","Replace visual effects/assets in affected learning scenes with original or verified redistributable assets.","Regenerate risky-reference CSV, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/Lana Studio","Assets/Scenes/NumberInequalitiesLevel.unity","scene","replace_or_confirm_source","pending","Replace visual effects/assets in affected learning scenes with original or verified redistributable assets.","Regenerate risky-reference CSV, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/Lana Studio","Assets/Scenes/NumberLevelUI01.unity","scene","replace_or_confirm_source","pending","Replace visual effects/assets in affected learning scenes with original or verified redistributable assets.","Regenerate risky-reference CSV, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/Lana Studio","Assets/Scenes/WordLevel01.unity","scene","replace_or_confirm_source","pending","Replace visual effects/assets in affected learning scenes with original or verified redistributable assets.","Regenerate risky-reference CSV, run Unity scene validation, and inspect affected scenes.","#2"
"Assets/Samples","Assets/Scenes/AdjectiveLevel01.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/Scenes/Cashier.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/Scenes/IdentifyingColors.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/Scenes/MainMenu.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/Scenes/NumberInequalitiesLevel.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/Scenes/NumberLevelUI01.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/Scenes/WordLevel01.unity","scene","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Blaster Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Cube Interactable.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Cylinder Interactable Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Rotating Torus.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Sphere Interactable.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Tapered Interactable Variant 1.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
"Assets/Samples","Assets/VRTemplateAssets/Prefabs/Interactables/Tapered Interactable Variant.prefab","prefab","import_from_unity_registry","pending","Document Unity Package Manager package/sample import steps, then rebind affected prefabs/scenes to imported package assets or local replacements.","Regenerate risky-reference CSV, run Unity scene validation, and smoke-test XR interactions.","#2"
